Timestamp,Time(s),Download(Mbps),Upload(Mbps)
2025-10-16 21:22:52,1,0.0018,0.0012
2025-10-16 21:22:53,2,2.3618,0.0932
2025-10-16 21:22:54,3,29.8736,0.2982
2025-10-16 21:22:55,4,0.0007,0.0006
2025-10-16 21:22:56,5,0.0007,0.0006
2025-10-16 21:22:57,6,0.0025,0.0018
2025-10-16 21:22:58,7,0.0000,0.0000
2025-10-16 21:22:59,8,0.0135,0.0210
2025-10-16 21:23:00,9,0.0104,0.0190
2025-10-16 21:23:01,10,0.0014,0.0009
2025-10-16 21:23:02,11,0.0030,0.0027
2025-10-16 21:23:03,12,0.0202,0.0013
2025-10-16 21:23:04,13,0.0213,0.0019
2025-10-16 21:23:05,14,0.0028,0.0019
2025-10-16 21:23:06,15,0.0519,0.0289
2025-10-16 21:23:07,16,0.0014,0.0025
2025-10-16 21:23:08,17,0.0086,0.0029
2025-10-16 21:23:09,18,0.0092,0.0131
2025-10-16 21:23:10,19,0.0444,0.0106
2025-10-16 21:23:11,20,0.0000,0.0000
2025-10-16 21:23:12,21,0.0000,0.0000
2025-10-16 21:23:13,22,0.0000,0.0000
2025-10-16 21:23:14,23,0.0092,0.0006
2025-10-16 21:23:15,24,0.0003,0.0000
2025-10-16 21:23:16,25,16.0256,0.1759
2025-10-16 21:23:17,26,14.8855,0.1432
2025-10-16 21:23:18,27,1.4224,0.0156
2025-10-16 21:23:19,28,0.0036,0.0038
2025-10-16 21:23:20,29,0.0532,0.0584
2025-10-16 21:23:21,30,0.0000,0.0003
2025-10-16 21:23:22,31,0.0057,0.0200
2025-10-16 21:23:23,32,0.0872,0.0220
2025-10-16 21:23:24,33,0.0019,0.0012
2025-10-16 21:23:25,34,0.0011,0.0010
2025-10-16 21:23:26,35,0.0018,0.0000
